City,Year,Population Growth Rate,Education Index,Health Index,Infrastructure Quality Index
Delhi,2015,2.50,0.80,0.75,0.78
Delhi,2016,2.52,0.81,0.76,0.79
Delhi,2017,2.54,0.82,0.77,0.80
Delhi,2018,2.56,0.83,0.78,0.81
Delhi,2019,2.58,0.84,0.79,0.82
Delhi,2020,2.60,0.85,0.80,0.83
Delhi,2021,2.62,0.86,0.81,0.84
Delhi,2022,2.64,0.87,0.82,0.85
Delhi,2023,2.66,0.88,0.83,0.86
Mumbai,2015,2.30,0.79,0.72,0.75
Mumbai,2016,2.32,0.80,0.73,0.76
Mumbai,2017,2.34,0.81,0.74,0.77
Mumbai,2018,2.36,0.82,0.75,0.78
Mumbai,2019,2.38,0.83,0.76,0.79
Mumbai,2020,2.40,0.84,0.77,0.80
Mumbai,2021,2.42,0.85,0.78,0.81
Mumbai,2022,2.44,0.86,0.79,0.82
Mumbai,2023,2.46,0.87,0.80,0.83
Bangalore,2015,2.70,0.81,0.76,0.78
Bangalore,2016,2.72,0.82,0.77,0.79
Bangalore,2017,2.74,0.83,0.78,0.80
Bangalore,2018,2.76,0.84,0.79,0.81
Bangalore,2019,2.78,0.85,0.80,0.82
Bangalore,2020,2.80,0.86,0.81,0.83
Bangalore,2021,2.82,0.87,0.82,0.84
Bangalore,2022,2.84,0.88,0.83,0.85
Bangalore,2023,2.86,0.89,0.84,0.86
Hyderabad,2015,2.60,0.80,0.75,0.76
Hyderabad,2016,2.62,0.81,0.76,0.77
Hyderabad,2017,2.64,0.82,0.77,0.78
Hyderabad,2018,2.66,0.83,0.78,0.79
Hyderabad,2019,2.68,0.84,0.79,0.80
Hyderabad,2020,2.70,0.85,0.80,0.81
Hyderabad,2021,2.72,0.86,0.81,0.82
Hyderabad,2022,2.74,0.87,0.82,0.83
Hyderabad,2023,2.76,0.88,0.83,0.84
Chennai,2015,2.40,0.78,0.74,0.74
Chennai,2016,2.42,0.79,0.75,0.75
Chennai,2017,2.44,0.80,0.76,0.76
Chennai,2018,2.46,0.81,0.77,0.77
Chennai,2019,2.48,0.82,0.78,0.78
Chennai,2020,2.50,0.83,0.79,0.79
Chennai,2021,2.52,0.84,0.80,0.80
Chennai,2022,2.54,0.85,0.81,0.81
Chennai,2023,2.56,0.86,0.82,0.82
Ahmedabad,2015,2.50,0.76,0.70,0.72
Ahmedabad,2016,2.52,0.77,0.71,0.73
Ahmedabad,2017,2.54,0.78,0.72,0.74
Ahmedabad,2018,2.56,0.79,0.73,0.75
Ahmedabad,2019,2.58,0.80,0.74,0.76
Ahmedabad,2020,2.60,0.81,0.75,0.77
Ahmedabad,2021,2.62,0.82,0.76,0.78
Ahmedabad,2022,2.64,0.83,0.77,0.79
Ahmedabad,2023,2.66,0.84,0.78,0.80
Pune,2015,2.40,0.79,0.74,0.75
Pune,2016,2.42,0.80,0.75,0.76
Pune,2017,2.44,0.81,0.76,0.77
Pune,2018,2.46,0.82,0.77,0.78
Pune,2019,2.48,0.83,0.78,0.79
Pune,2020,2.50,0.84,0.79,0.80
Pune,2021,2.52,0.85,0.80,0.81
Pune,2022,2.54,0.86,0.81,0.82
Pune,2023,2.56,0.87,0.82,0.83
Jaipur,2015,2.30,0.74,0.70,0.71
Jaipur,2016,2.32,0.75,0.71,0.72
Jaipur,2017,2.34,0.76,0.72,0.73
Jaipur,2018,2.36,0.77,0.73,0.74
Jaipur,2019,2.38,0.78,0.74,0.75
Jaipur,2020,2.40,0.79,0.75,0.76
Jaipur,2021,2.42,0.80,0.76,0.77
Jaipur,2022,2.44,0.81,0.77,0.78
Jaipur,2023,2.46,0.82,0.78,0.79
Lucknow,2015,2.20,0.72,0.68,0.70
Lucknow,2016,2.22,0.73,0.69,0.71
Lucknow,2017,2.24,0.74,0.70,0.72
Lucknow,2018,2.26,0.75,0.71,0.73
Lucknow,2019,2.28,0.76,0.72,0.74
Lucknow,2020,2.30,0.77,0.73,0.75
Lucknow,2021,2.32,0.78,0.74,0.76
Lucknow,2022,2.34,0.79,0.75,0.77
Lucknow,2023,2.36,0.80,0.76,0.78
Kanpur,2015,2.00,0.70,0.65,0.67
Kanpur,2016,2.02,0.71,0.66,0.68
Kanpur,2017,2.04,0.72,0.67,0.69
Kanpur,2018,2.06,0.73,0.68,0.70
Kanpur,2019,2.08,0.74,0.69,0.71
Kanpur,2020,2.10,0.75,0.70,0.72
Kanpur,2021,2.12,0.76,0.71,0.73
Kanpur,2022,2.14,0.77,0.72,0.74
Kanpur,2023,2.16,0.78,0.73,0.75
Nagpur,2015,2.30,0.76,0.71,0.73
Nagpur,2016,2.32,0.77,0.72,0.74
Nagpur,2017,2.34,0.78,0.73,0.75
Nagpur,2018,2.36,0.79,0.74,0.76
Nagpur,2019,2.38,0.80,0.75,0.77
Nagpur,2020,2.40,0.81,0.76,0.78
Nagpur,2021,2.42,0.82,0.77,0.79
Nagpur,2022,2.44,0.83,0.78,0.80
Nagpur,2023,2.46,0.84,0.79,0.81
Indore,2015,2.50,0.78,0.73,0.74
Indore,2016,2.52,0.79,0.74,0.75
Indore,2017,2.54,0.80,0.75,0.76
Indore,2018,2.56,0.81,0.76,0.77
Indore,2019,2.58,0.82,0.77,0.78
Indore,2020,2.60,0.83,0.78,0.79
Indore,2021,2.62,0.84,0.79,0.80
Indore,2022,2.64,0.85,0.80,0.81
Indore,2023,2.66,0.86,0.81,0.82
Bhopal,2015,2.30,0.74,0.69,0.71
Bhopal,2016,2.32,0.75,0.70,0.72
Bhopal,2017,2.34,0.76,0.71,0.73
Bhopal,2018,2.36,0.77,0.72,0.74
Bhopal,2019,2.38,0.78,0.73,0.75
Bhopal,2020,2.40,0.79,0.74,0.76
Bhopal,2021,2.42,0.80,0.75,0.77
Bhopal,2022,2.44,0.81,0.76,0.78
Bhopal,2023,2.46,0.82,0.77,0.79
Patna,2015,2.00,0.68,0.64,0.65
Patna,2016,2.02,0.69,0.65,0.66
Patna,2017,2.04,0.70,0.66,0.67
Patna,2018,2.06,0.71,0.67,0.68
Patna,2019,2.08,0.72,0.68,0.69
Patna,2020,2.10,0.73,0.69,0.70
Patna,2021,2.12,0.74,0.70,0.71
Patna,2022,2.14,0.75,0.71,0.72
Patna,2023,2.16,0.76,0.72,0.73
Ranchi,2015,2.10,0.69,0.65,0.66
Ranchi,2016,2.12,0.70,0.66,0.67
Ranchi,2017,2.14,0.71,0.67,0.68
Ranchi,2018,2.16,0.72,0.68,0.69
Ranchi,2019,2.18,0.73,0.69,0.70
Ranchi,2020,2.20,0.74,0.70,0.71
Ranchi,2021,2.22,0.75,0.71,0.72
Ranchi,2022,2.24,0.76,0.72,0.73
Ranchi,2023,2.26,0.77,0.73,0.74
Raipur,2015,2.20,0.70,0.66,0.67
Raipur,2016,2.22,0.71,0.67,0.68
Raipur,2017,2.24,0.72,0.68,0.69
Raipur,2018,2.26,0.73,0.69,0.70
Raipur,2019,2.28,0.74,0.70,0.71
Raipur,2020,2.30,0.75,0.71,0.72
Raipur,2021,2.32,0.76,0.72,0.73
Raipur,2022,2.34,0.77,0.73,0.74
Raipur,2023,2.36,0.78,0.74,0.75
Chandigarh,2015,2.60,0.85,0.81,0.82
Chandigarh,2016,2.62,0.86,0.82,0.83
Chandigarh,2017,2.64,0.87,0.83,0.84
Chandigarh,2018,2.66,0.88,0.84,0.85
Chandigarh,2019,2.68,0.89,0.85,0.86
Chandigarh,2020,2.70,0.90,0.86,0.87
Chandigarh,2021,2.72,0.91,0.87,0.88
Chandigarh,2022,2.74,0.92,0.88,0.89
Chandigarh,2023,2.76,0.93,0.89,0.90
Amritsar,2015,2.30,0.75,0.71,0.72
Amritsar,2016,2.32,0.76,0.72,0.73
Amritsar,2017,2.34,0.77,0.73,0.74
Amritsar,2018,2.36,0.78,0.74,0.75
Amritsar,2019,2.38,0.79,0.75,0.76
Amritsar,2020,2.40,0.80,0.76,0.77
Amritsar,2021,2.42,0.81,0.77,0.78
Amritsar,2022,2.44,0.82,0.78,0.79
Amritsar,2023,2.46,0.83,0.79,0.80
Surat,2015,2.70,0.79,0.74,0.76
Surat,2016,2.72,0.80,0.75,0.77
Surat,2017,2.74,0.81,0.76,0.78
Surat,2018,2.76,0.82,0.77,0.79
Surat,2019,2.78,0.83,0.78,0.80
Surat,2020,2.80,0.84,0.79,0.81
Surat,2021,2.82,0.85,0.80,0.82
Surat,2022,2.84,0.86,0.81,0.83
Surat,2023,2.86,0.87,0.82,0.84
Vadodara,2015,2.50,0.76,0.72,0.73
Vadodara,2016,2.52,0.77,0.73,0.74
Vadodara,2017,2.54,0.78,0.74,0.75
Vadodara,2018,2.56,0.79,0.75,0.76
Vadodara,2019,2.58,0.80,0.76,0.77
Vadodara,2020,2.60,0.81,0.77,0.78
Vadodara,2021,2.62,0.82,0.78,0.79
Vadodara,2022,2.64,0.83,0.79,0.80
Vadodara,2023,2.66,0.84,0.80,0.81
Nashik,2015,2.40,0.74,0.70,0.72
Nashik,2016,2.42,0.75,0.71,0.73
Nashik,2017,2.44,0.76,0.72,0.74
Nashik,2018,2.46,0.77,0.73,0.75
Nashik,2019,2.48,0.78,0.74,0.76
Nashik,2020,2.50,0.79,0.75,0.77
Nashik,2021,2.52,0.80,0.76,0.78
Nashik,2022,2.54,0.81,0.77,0.79
Nashik,2023,2.56,0.82,0.78,0.80
Faridabad,2015,2.30,0.73,0.69,0.70
Faridabad,2016,2.32,0.74,0.70,0.71
Faridabad,2017,2.34,0.75,0.71,0.72
Faridabad,2018,2.36,0.76,0.72,0.73
Faridabad,2019,2.38,0.77,0.73,0.74
Faridabad,2020,2.40,0.78,0.74,0.75
Faridabad,2021,2.42,0.79,0.75,0.76
Faridabad,2022,2.44,0.80,0.76,0.77
Faridabad,2023,2.46,0.81,0.77,0.78
Meerut,2015,2.20,0.72,0.67,0.69
Meerut,2016,2.22,0.73,0.68,0.70
Meerut,2017,2.24,0.74,0.69,0.71
Meerut,2018,2.26,0.75,0.70,0.72
Meerut,2019,2.28,0.76,0.71,0.73
Meerut,2020,2.30,0.77,0.72,0.74
Meerut,2021,2.32,0.78,0.73,0.75
Meerut,2022,2.34,0.79,0.74,0.76
Meerut,2023,2.36,0.80,0.75,0.77
Rajkot,2015,2.50,0.77,0.72,0.73
Rajkot,2016,2.52,0.78,0.73,0.74
Rajkot,2017,2.54,0.79,0.74,0.75
Rajkot,2018,2.56,0.80,0.75,0.76
Rajkot,2019,2.58,0.81,0.76,0.77
Rajkot,2020,2.60,0.82,0.77,0.78
Rajkot,2021,2.62,0.83,0.78,0.79
Rajkot,2022,2.64,0.84,0.79,0.80
Rajkot,2023,2.66,0.85,0.80,0.81
Varanasi,2015,2.10,0.70,0.66,0.68
Varanasi,2016,2.12,0.71,0.67,0.69
Varanasi,2017,2.14,0.72,0.68,0.70
Varanasi,2018,2.16,0.73,0.69,0.71
Varanasi,2019,2.18,0.74,0.70,0.72
Varanasi,2020,2.20,0.75,0.71,0.73
Varanasi,2021,2.22,0.76,0.72,0.74
Varanasi,2022,2.24,0.77,0.73,0.75
Varanasi,2023,2.26,0.78,0.74,0.76
Madurai,2015,2.30,0.73,0.68,0.70
Madurai,2016,2.32,0.74,0.69,0.71
Madurai,2017,2.34,0.75,0.70,0.72
Madurai,2018,2.36,0.76,0.71,0.73
Madurai,2019,2.38,0.77,0.72,0.74
Madurai,2020,2.40,0.78,0.73,0.75
Madurai,2021,2.42,0.79,0.74,0.76
Madurai,2022,2.44,0.80,0.75,0.77
Madurai,2023,2.46,0.81,0.76,0.78
Coimbatore,2015,2.40,0.75,0.70,0.72
Coimbatore,2016,2.42,0.76,0.71,0.73
Coimbatore,2017,2.44,0.77,0.72,0.74
Coimbatore,2018,2.46,0.78,0.73,0.75
Coimbatore,2019,2.48,0.79,0.74,0.76
Coimbatore,2020,2.50,0.80,0.75,0.77
Coimbatore,2021,2.52,0.81,0.76,0.78
Coimbatore,2022,2.54,0.82,0.77,0.79
Coimbatore,2023,2.56,0.83,0.78,0.80
Jodhpur,2015,2.20,0.72,0.67,0.69
Jodhpur,2016,2.22,0.73,0.68,0.70
Jodhpur,2017,2.24,0.74,0.69,0.71
Jodhpur,2018,2.26,0.75,0.70,0.72
Jodhpur,2019,2.28,0.76,0.71,0.73
Jodhpur,2020,2.30,0.77,0.72,0.74
Jodhpur,2021,2.32,0.78,0.73,0.75
Jodhpur,2022,2.34,0.79,0.74,0.76
Jodhpur,2023,2.36,0.80,0.75,0.77
Gwalior,2015,2.10,0.71,0.66,0.68
Gwalior,2016,2.12,0.72,0.67,0.69
Gwalior,2017,2.14,0.73,0.68,0.70
Gwalior,2018,2.16,0.74,0.69,0.71
Gwalior,2019,2.18,0.75,0.70,0.72
Gwalior,2020,2.20,0.76,0.71,0.73
Gwalior,2021,2.22,0.77,0.72,0.74
Gwalior,2022,2.24,0.78,0.73,0.75
Gwalior,2023,2.26,0.79,0.74,0.76
Agra,2015,2.20,0.70,0.66,0.68
Agra,2016,2.22,0.71,0.67,0.69
Agra,2017,2.24,0.72,0.68,0.70
Agra,2018,2.26,0.73,0.69,0.71
Agra,2019,2.28,0.74,0.70,0.72
Agra,2020,2.30,0.75,0.71,0.73
Agra,2021,2.32,0.76,0.72,0.74
Agra,2022,2.34,0.77,0.73,0.75
Agra,2023,2.36,0.78,0.74,0.76
Hubli,2015,2.30,0.74,0.69,0.70
Hubli,2016,2.32,0.75,0.70,0.71
Hubli,2017,2.34,0.76,0.71,0.72
Hubli,2018,2.36,0.77,0.72,0.73
Hubli,2019,2.38,0.78,0.73,0.74
Hubli,2020,2.40,0.79,0.74,0.75
Hubli,2021,2.42,0.80,0.75,0.76
Hubli,2022,2.44,0.81,0.76,0.77
Hubli,2023,2.46,0.82,0.77,0.78
Jamshedpur,2015,2.20,0.73,0.68,0.70
Jamshedpur,2016,2.22,0.74,0.69,0.71
Jamshedpur,2017,2.24,0.75,0.70,0.72
Jamshedpur,2018,2.26,0.76,0.71,0.73
Jamshedpur,2019,2.28,0.77,0.72,0.74
Jamshedpur,2020,2.30,0.78,0.73,0.75
Jamshedpur,2021,2.32,0.79,0.74,0.76
Jamshedpur,2022,2.34,0.80,0.75,0.77
Jamshedpur,2023,2.36,0.81,0.76,0.78
Kolkata,2015,2.20,0.74,0.70,0.72
Kolkata,2016,2.22,0.75,0.71,0.73
Kolkata,2017,2.24,0.76,0.72,0.74
Kolkata,2018,2.26,0.77,0.73,0.75
Kolkata,2019,2.28,0.78,0.74,0.76
Kolkata,2020,2.30,0.79,0.75,0.77
Kolkata,2021,2.32,0.80,0.76,0.78
Kolkata,2022,2.34,0.81,0.77,0.79
Kolkata,2023,2.36,0.82,0.78,0.80
Vijayawada,2015,2.40,0.77,0.72,0.74
Vijayawada,2016,2.42,0.78,0.73,0.75
